        ks(1/s)        ksr(1/s)       ksnr(1/s)       kisc(1/s)         kt(1/s)        ktr(1/s)       ktnr(1/s)      krisc(1/s)       phi_sr(%)      phi_snr(%)      phi_isc(%)       phi_tr(%)      phi_tnr(%)     phi_risc(%)
    4.97279e+07     2.96632e+07     1.32499e+06     1.87397e+07     7.98439e+05     0.00000e+00     8.39744e+04     7.14464e+05        59.65096         2.66448        37.68456         0.00000        10.51733        89.48267
    4.97279e+07     2.96632e+07     1.30843e+06     1.87563e+07     7.98439e+05     0.00000e+00     8.46053e+04     7.13833e+05        59.65096         2.63117        37.71787         0.00000        10.59634        89.40366
    4.97279e+07     2.96632e+07     1.29186e+06     1.87729e+07     7.98439e+05     0.00000e+00     8.52351e+04     7.13204e+05        59.65096         2.59786        37.75117         0.00000        10.67522        89.32478
    4.97279e+07     2.96632e+07     1.27530e+06     1.87894e+07     7.98439e+05     0.00000e+00     8.58637e+04     7.12575e+05        59.65096         2.56456        37.78448         0.00000        10.75396        89.24604
    4.97279e+07     2.96632e+07     1.25874e+06     1.88060e+07     7.98439e+05     0.00000e+00     8.64913e+04     7.11947e+05        59.65096         2.53125        37.81778         0.00000        10.83256        89.16744
    4.97279e+07     2.96632e+07     1.24218e+06     1.88225e+07     7.98439e+05     0.00000e+00     8.71178e+04     7.11321e+05        59.65096         2.49795        37.85109         0.00000        10.91102        89.08898
    4.97279e+07     2.96632e+07     1.22561e+06     1.88391e+07     7.98439e+05     0.00000e+00     8.77431e+04     7.10695e+05        59.65096         2.46464        37.88440         0.00000        10.98934        89.01066
    4.97279e+07     2.96632e+07     1.20905e+06     1.88557e+07     7.98439e+05     0.00000e+00     8.83674e+04     7.10071e+05        59.65096         2.43133        37.91770         0.00000        11.06752        88.93248
    4.97279e+07     2.96632e+07     1.19249e+06     1.88722e+07     7.98439e+05     0.00000e+00     8.89905e+04     7.09448e+05        59.65096         2.39803        37.95101         0.00000        11.14557        88.85443
    4.97279e+07     2.96632e+07     1.17593e+06     1.88888e+07     7.98439e+05     0.00000e+00     8.96126e+04     7.08826e+05        59.65096         2.36472        37.98431         0.00000        11.22348        88.77652
    4.97279e+07     2.96632e+07     1.15936e+06     1.89054e+07     7.98439e+05     0.00000e+00     9.02336e+04     7.08205e+05        59.65096         2.33142        38.01762         0.00000        11.30125        88.69875
    4.97279e+07     2.96632e+07     1.14280e+06     1.89219e+07     7.98439e+05     0.00000e+00     9.08535e+04     7.07585e+05        59.65096         2.29811        38.05093         0.00000        11.37889        88.62111
    4.97279e+07     2.96632e+07     1.12624e+06     1.89385e+07     7.98439e+05     0.00000e+00     9.14723e+04     7.06966e+05        59.65096         2.26480        38.08423         0.00000        11.45639        88.54361
    4.97279e+07     2.96632e+07     1.10968e+06     1.89550e+07     7.98439e+05     0.00000e+00     9.20900e+04     7.06349e+05        59.65096         2.23150        38.11754         0.00000        11.53376        88.46624
    4.97279e+07     2.96632e+07     1.09311e+06     1.89716e+07     7.98439e+05     0.00000e+00     9.27067e+04     7.05732e+05        59.65096         2.19819        38.15084         0.00000        11.61099        88.38901
    4.97279e+07     2.96632e+07     1.07655e+06     1.89882e+07     7.98439e+05     0.00000e+00     9.33222e+04     7.05116e+05        59.65096         2.16489        38.18415         0.00000        11.68809        88.31191
    4.97279e+07     2.96632e+07     1.05999e+06     1.90047e+07     7.98439e+05     0.00000e+00     9.39367e+04     7.04502e+05        59.65096         2.13158        38.21746         0.00000        11.76505        88.23495
    4.97279e+07     2.96632e+07     1.04343e+06     1.90213e+07     7.98439e+05     0.00000e+00     9.45502e+04     7.03888e+05        59.65096         2.09828        38.25076         0.00000        11.84188        88.15812
    4.97279e+07     2.96632e+07     1.02687e+06     1.90379e+07     7.98439e+05     0.00000e+00     9.51625e+04     7.03276e+05        59.65096         2.06497        38.28407         0.00000        11.91858        88.08142
    4.97279e+07     2.96632e+07     1.01030e+06     1.90544e+07     7.98439e+05     0.00000e+00     9.57738e+04     7.02665e+05        59.65096         2.03166        38.31737         0.00000        11.99514        88.00486
    4.97279e+07     2.96632e+07     9.93741e+05     1.90710e+07     7.98439e+05     0.00000e+00     9.63840e+04     7.02055e+05        59.65096         1.99836        38.35068         0.00000        12.07157        87.92843
